Indicadores de las asignaturas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asignaturas vinculadas;;cambio de semestre, no viene en listado origen, aprobado Fase previa POD;;;
Fecha de generación: Thu Apr 15 16:18:46 CEST 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aaaaaa;asignaturas nuevas 21-22;;;;;
Año;Cod Centro;Centro;Cod Asignatura;Asignatura;NumAreas;Cod Area;Area;Cod Departamento;Departamento;Tipo Plan;Cod Plan;Plan;Nivel Experimentalidad;Tipo de asignatura;Clase;Ciclo;Curso;Periodo;CredTeoAsig;CredTotalAsig;Vínculo;Destino vínculo;Grupos;AlumPrev;Matriculados;MaxAnteriorActual;CredTeoArea;EncTeoArea;CredArea;Horas estud tipo1;Horas prof tipo1;Horas estud tipo2;Horas prof tipo2;Horas estud tipo3;Horas prof tipo3;Horas estud tipo4;Horas prof tipo4;Horas estud tipo5;Horas prof tipo5;Horas estud tipo6;Horas prof tipo6;Horas estud tipo7;Horas prof tipo7;Horas estud tipo8;Horas prof tipo8;Horas estud tipo9;Horas prof tipo9;Horas estud tipo10;Horas prof tipo10;Eprop;Easig;Econt;Eref;AlsProf;Contabiliza necesidades;EncargoCursoAnterior;EncAsignadoCursoAnt;AlumCursoMenos1;AlumCursoMenos2;AlumCursoMenos3;AlumCursoMenos4;AlumCursoMenos5;MotivoMantenerOptativa;MotivoCambioAlumPrev;MotivoCambioGrupos;ImpartidaCursoAnterior;EstadoFase0;EstadoFase1;EstadoFase2;Eprop-Econt;Numero subgrupos T2 ofertados 2021-2022;Numero subgrupos T3 ofertados 2021-2022;Numero subgrupos T2 ofertados 2020-2021;Numero subgrupos T3 ofertados 2020-2021;Diferencia T2 ;Diferencia T3 ;CAMBIOS;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25877;Taller de Diseño III: Creatividad;1;305;Expresión Gráfica de la Ingeniería;5002;Ingeniería de Diseño y Fabricación;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;O;X;2;S2;0,00;6,00;-;0;1;79;0;79;0,000;0,00;6,000;30,000;30,000;0,000;0,000;30,000;120,000;0,000;0,000;0,000;0,000;70,000;30,000;15,000;0,000;5,000;0,000;0,000;0,000;0,000;0,000;180,00;0,00;189,60;180,00;10,53;S;180,00;180,00;77;79;76;75;82;-;;;S;;GUARDADO;PENDIENTE;-9,60;0;4;0;4;0;0;;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25878;Diseño Asistido por Ordenador II;1;305;Expresión Gráfica de la Ingeniería;5002;Ingeniería de Diseño y Fabricación;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;O;X;3;S1;0,00;6,00;-;0;1;89;0;109;0,000;0,00;6,000;15,000;15,000;0,000;0,000;45,000;180,000;0,000;0,000;0,000;0,000;85,000;18,000;0,000;0,000;5,000;0,000;0,000;0,000;0,000;0,000;213,00;0,00;213,60;195,00;10,03;S;195,00;195,00;114;83;74;64;-1;-;;;S;;GUARDADO;PENDIENTE;-0,60;0;4;0;4;0;0;;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25879;Ergonomía;1;720;Proyectos de Ingeniería;5002;Ingeniería de Diseño y Fabricación;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;O;X;3;S1;0,00;6,00;-;0;1;87;0;87;0,000;0,00;6,000;30,000;30,000;0,000;0,000;30,000;120,000;0,000;0,000;0,000;0,000;55,000;50,000;30,000;0,000;5,000;0,000;0,000;0,000;0,000;0,000;200,00;0,00;208,80;148,00;10,44;S;148,00;148,00;89;68;81;73;-1;-;;;S;;GUARDADO;PENDIENTE;-8,80;0;3;0;3;0;0;añadir 1 subgrupo de prácticas: Ergo 4 J 11-13, eliminar 1 subgrupo de prácticas 8/7/21;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25880;Procesos de Fabricación;1;515;Ingeniería de los Procesos de Fabricación;5002;Ingeniería de Diseño y Fabricación;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;O;X;3;S1;0,00;6,00;-;0;1;89;0;95;0,000;0,00;6,000;25,000;25,000;10,000;10,000;21,000;126,000;4,000;4,000;0,000;0,000;15,000;20,000;70,000;0,000;5,000;0,000;0,000;0,000;0,000;0,000;185,00;0,00;213,60;164,00;11,55;S;164,00;164,00;99;80;76;68;-1;-;;;S;;GUARDADO;PENDIENTE;-28,60;1;6;1;5;0;1;añadir 1 subgrupo de prácticas: V 11-14;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25881;Resistencia de Materiales;1;605;Mec. de Medios Contínuos y Teor. de Estructuras;5004;Ingeniería Mecánica;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;O;X;3;S1;0,00;6,00;-;0;1;89;0;107;0,000;0,00;6,000;30,000;30,000;15,000;15,000;12,000;72,000;0,000;0,000;0,000;0,000;22,000;78,300;65,000;0,000;6,000;0,000;0,000;0,000;0,000;0,000;210,30;0,00;213,60;184,68;10,16;S;184,68;184,68;112;87;79;67;-1;-;;;S;;GUARDADO;PENDIENTE;-3,30;1;6;2;5;-1;1;añadir 1 subgrupo de prácticas: LB 11-13, eliminar desdoble problemas (fase 1 POD) 7/7/21;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25882;Taller de Diseño IV: Desarrollo de Producto;2;305;Expresión Gráfica de la Ingeniería;5002;Ingeniería de Diseño y Fabricación;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;O;X;3;S1;0,00;6,00;-;0;1;77;0;77;0,000;0,00;4,000;20,000;20,000;0,000;0,000;20,000;80,000;0,000;0,000;0,000;0,000;40,000;15,200;15,000;0,000;5,000;0,000;0,000;0,000;0,000;0,000;115,20;0,00;123,20;115,20;10,69;S;115,20;115,20;79;75;72;72;-1;-;;;S;;GUARDADO;PENDIENTE;-8,00;0;4;0;4;0;0;;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25882;Taller de Diseño IV: Desarrollo de Producto;2;515;Arquitectura y Tecnología de Computadores;5002;Ingeniería de Diseño y Fabricación;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;O;X;3;S1;0,00;6,00;-;0;1;77;0;77;0,000;0,00;2,000;4,000;4,000;0,000;0,000;15,000;60,000;1,000;1,000;0,000;0,000;24,000;0,000;5,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;65,00;0,00;61,60;61,60;9,48;S;65,00;65,00;79;75;72;72;-1;-;;;S;;GUARDADO;PENDIENTE;3,40;0;4;0;4;0;0;;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25883;Ampliación de Materiales y Procesos;2;065;Ciencia de los Materiales e Ingeniería Metalúrgica;5001;Ciencia y Tecnología de Materiales y Fluidos;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;O;X;3;S2;0,00;6,00;-;0;1;82;0;82;0,000;0,00;3,000;15,000;15,000;7,000;7,000;6,000;48,000;0,000;0,000;0,000;0,000;10,000;28,400;34,000;0,000;3,000;0,000;0,000;0,000;0,000;0,000;98,40;0,00;98,40;91,20;10,00;S;91,20;91,20;78;82;68;66;-1;-;;;S;;GUARDADO;PENDIENTE;0,00;1;8;1;7;0;1;añadir 1 subgrupo de prácticas: AMP 8 J 17-20;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25883;Ampliación de Materiales y Procesos;2;515;Ingeniería de los Procesos de Fabricación;5002;Ingeniería de Diseño y Fabricación;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;O;X;3;S2;0,00;6,00;-;0;1;82;0;82;0,000;0,00;3,000;16,000;16,000;5,000;5,000;9,000;54,000;0,000;0,000;0,000;0,000;10,000;0,000;32,000;0,000;3,000;0,000;0,000;0,000;0,000;0,000;75,00;0,00;98,40;66,00;13,12;S;75,00;66,00;78;82;68;66;-1;-;;;S;;GUARDADO;PENDIENTE;-23,40;0;0;0;0;0;0;;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25884;Gestión de Mercadotecnia y Aspectos Legales del Diseño;1;650;Organización de Empresas;4012;Dirección y Organización de Empresas;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;2;NOR;O;X;3;S2;0,00;6,00;-;0;1;83;0;83;0,000;0,00;6,000;30,000;30,000;28,000;56,000;0,000;0,000;0,000;0,000;0,000;0,000;30,000;63,400;59,000;0,000;3,000;0,000;0,000;0,000;0,000;0,000;149,40;0,00;149,40;135,00;13,33;S;135,00;135,00;78;83;67;71;-1;-;;;S;;GUARDADO;PENDIENTE;0,00;2;0;2;0;0;0;;;;;;;
